timestamp_local,timestamp_utc,month,zen,azi,dni,dhi,ghi,T_ambient,tilt_analytic_2D,Isc_2D,Voc_2D,Imp_2D,Vmp_2D,Pmax_2D,FF_2D,tilt_fixed_3D,Isc_3D,Imp_3D,Vmp_3D,Voc_3D,Pmax_3D,FF_3D
2024-02-21 12:00:00+05:30,2024-02-21 06:30:00+00:00,Feb,25.085380460718966,160.4106639177544,932.8259291619026,139.88096244606527,984.7144363776918,28.47,23.798826741801,14.88,3.815,14.05,3.2416,45.5391,0.8021,31,19.575441516994154,18.462227285816695,3.302765531062124,3.815,60.97640790623001,0.8164991335262579
2024-02-21 13:00:00+05:30,2024-02-21 07:30:00+00:00,Feb,24.583401765504846,195.94442408454566,933.7200639694463,140.27717042501195,989.3564331854486,29.08,23.743987186340405,14.95,3.815,14.1,3.2492,45.8206,0.8036,31,19.62702779371093,18.503453856652428,3.3104108216432864,3.815,61.2540338848394,0.8180608605190111
2024-02-21 14:00:00+05:30,2024-02-21 08:30:00+00:00,Feb,31.977934208083674,223.2614985546742,917.9955716935885,133.64733563243533,912.3299644588352,29.34,24.449435994314975,13.85,3.815,13.07,3.2645,42.6825,0.8078,31,18.947152533911712,17.884247074311773,3.3104108216432864,3.815,59.204205051743976,0.8190568756805705
2024-02-21 15:00:00+05:30,2024-02-21 09:30:00+00:00,Feb,43.40302144523652,238.66320453334703,879.9643978099251,120.05285083261617,759.3637532436519,29.19,26.190523060707108,11.67,3.815,11.04,3.2798,36.208,0.813,31,17.367789085176298,16.398796767800558,3.3104108216432864,3.815,54.286754282055924,0.8193223424352297
2024-02-21 16:00:00+05:30,2024-02-21 10:30:00+00:00,Feb,56.45792508309045,247.64722718220358,802.1128698884614,99.23991362782749,542.4167406307183,28.65,29.841480318928493,8.58,3.815,8.14,3.2798,26.687,0.815,31,14.748503537101419,13.965667084612164,3.2874749498997997,3.815,45.91178069930265,0.815983991057055
2024-03-21 09:00:00+05:30,2024-03-21 03:30:00+00:00,Mar,52.69865795423374,99.57379835386575,766.4714237252907,119.81704055617183,584.2802822022925,28.03,12.315176514133933,8.27,3.815,7.84,3.2645,25.6032,0.8113,31,15.156935405501244,14.318918604978926,3.2568937875751502,3.815,46.6351970493501,0.8065065040110998
2024-03-21 10:00:00+05:30,2024-03-21 04:30:00+00:00,Mar,38.44092407770105,106.14298245989477,842.3313467730937,142.02327509533325,801.766559997989,30.31,12.445210529266747,11.36,3.815,10.74,3.2875,35.2965,0.8142,31,17.63141401263734,16.61885564322961,3.2951202404809616,3.815,54.761127603637135,0.8141242601388657
2024-03-21 11:00:00+05:30,2024-03-21 05:30:00+00:00,Mar,24.867241734497156,118.57621171177118,880.3919310934315,156.37927002326126,955.1401829504277,32.07,12.500281677689241,13.54,3.815,12.79,3.2875,42.0406,0.8136,31,19.19767750308472,18.099738493755737,3.3104108216432864,3.815,59.91757017864255,0.8181086021098354
2024-03-21 12:00:00+05:30,2024-03-21 06:30:00+00:00,Mar,14.157348929323987,151.63266900147363,896.338959889306,163.34881036788022,1032.462239098228,32.9,12.514329823876269,14.64,3.815,13.81,3.2875,45.3913,0.8125,31,19.921865665174906,18.775916425807438,3.3180561122244487,3.815,62.299544259265794,0.8197101638771522
2024-03-21 13:00:00+05:30,2024-03-21 07:30:00+00:00,Mar,14.978619539886864,214.07187021621212,895.4654872283345,162.94945796434115,1027.9872804235104,33.81,12.495953263360985,14.58,3.815,13.76,3.2951,45.3428,0.8153,31,19.878407175447986,18.703930282556957,3.3333466933867735,3.815,62.346684160697976,0.8221238294704097
2024-03-21 14:00:00+05:30,2024-03-21 08:30:00+00:00,Mar,26.269832503148315,243.45081485389483,877.500862287883,155.18370525982596,942.050202546902,34.4,12.44083643153605,13.36,3.815,12.6,3.3181,41.809,0.8206,31,19.030683175011617,17.956679205881485,3.3333466933867735,3.815,59.85583725513208,0.824437217003274
2024-03-21 15:00:00+05:30,2024-03-21 09:30:00+00:00,Mar,39.96282054337084,254.88194574326747,836.3915247263186,140.01861335288368,781.0669925529771,34.5,12.32849327926813,11.07,3.815,10.46,3.3333,34.8774,0.8262,31,17.406458091917866,16.434422745468716,3.3333466933867735,3.815,54.78162871632853,0.8249544869858981
2024-03-21 16:00:00+05:30,2024-03-21 10:30:00+00:00,Mar,54.25564917756424,261.1260668410396,754.6354934762637,116.8818124614611,557.6916308238265,34.21,12.096989420762556,7.89,3.815,7.47,3.3333,24.9151,0.8278,31,14.811419789543413,13.9964729794274,3.3180561122244487,3.815,46.44108271897343,0.8218850919997452
2024-04-21 09:00:00+05:30,2024-04-21 03:30:00+00:00,Apr,48.31704360084001,85.3703621139822,743.1891209491693,137.70454840008074,631.912847620759,29.06,5.179493570981825,8.68,3.815,8.23,3.2645,26.8572,0.8113,31,14.435831608193924,13.618292429849596,3.233957915831663,3.815,44.04098460362252,0.7996881673617176
2024-04-21 10:00:00+05:30,2024-04-21 04:30:00+00:00,Apr,33.73129664806291,87.71675775153057,810.0635557506272,159.04422606472087,832.7253692255342,31.34,1.5237730190886365,11.53,3.815,10.89,3.2875,35.7985,0.8139,31,16.938996992452182,15.944065756386902,3.2721843687374745,3.815,52.17192274217166,0.8073365404114937
2024-04-21 11:00:00+05:30,2024-04-21 05:30:00+00:00,Apr,19.119108234291758,90.64934478499669,844.1723291983313,172.4554426887936,970.0601436833027,33.2,0.22509236865350826,13.44,3.815,12.7,3.2875,41.7575,0.8143,31,18.349368562558652,17.255624256976528,3.2951202404809616,3.815,56.85935675129761,0.8122435587658299
2024-04-21 12:00:00+05:30,2024-04-21 06:30:00+00:00,Apr,4.552975302618094,101.22163141605944,857.622901285569,178.4104129934168,1033.3268106060943,34.12,0.8878289619175032,14.32,3.815,13.5,3.2951,44.4818,0.8142,31,18.919032919157292,17.803037840437042,3.302765531062124,3.815,58.79925972759014,0.8146637336054902
2024-04-21 13:00:00+05:30,2024-04-21 07:30:00+00:00,Apr,10.22377417307311,266.03595659580606,854.4466751464013,176.96347831752576,1017.8424754635672,34.78,0.7143349516902858,14.11,3.815,13.31,3.3028,43.9475,0.8167,31,18.73805558229462,17.635545845492015,3.3104108216432864,3.815,58.38090181250307,0.8166796502629022
2024-04-21 14:00:00+05:30,2024-04-21 08:30:00+00:00,Apr,24.830732118828706,270.76663183941184,833.7251611452978,168.111914149565,924.7563225423386,35.09,0.35471764521904503,12.81,3.815,12.1,3.3181,40.1428,0.8212,31,17.922208884112866,16.875116831131493,3.3104108216432864,3.815,55.86356937427246,0.8170386555220656
2024-04-21 15:00:00+05:30,2024-04-21 09:30:00+00:00,Apr,39.43209533851397,273.3407530631495,788.9538173766772,151.71230425823762,761.0704986293515,35.05,2.743605668091683,10.52,3.815,9.96,3.3257,33.1392,0.8258,31,16.091884180305346,15.178804025668569,3.302765531062124,3.815,50.13203073872516,0.8166084261711054
2024-04-21 16:00:00+05:30,2024-04-21 10:30:00+00:00,Apr,53.99479794648089,275.6603192713845,702.4857210250024,126.87296947522657,539.8120352802371,34.07,7.729377381413703,7.33,3.815,6.95,3.3181,23.0625,0.8244,31,13.123818161991222,12.390721205951586,3.2721843687374745,3.815,40.544724247498735,0.8098034159471894
2024-05-21 09:00:00+05:30,2024-05-21 03:30:00+00:00,May,47.39083044753677,74.26438022615014,733.383112521385,138.89564790715752,635.3739499982935,28.55,16.42719601854302,8.0,3.815,7.58,3.2645,24.7321,0.8107,31,13.483961189448516,12.708332756770877,3.2186673346693384,3.815,40.90389552232676,0.7951565382280368
2024-05-21 10:00:00+05:30,2024-05-21 04:30:00+00:00,May,33.36689746767996,72.72914916183765,795.4378170990353,158.94384761559468,823.257681775891,30.7,11.06270350963855,10.92,3.815,10.33,3.2798,33.8705,0.8131,31,15.97428409110673,15.01952043178615,3.241603206412825,3.815,48.68732559046093,0.7989138923741718
2024-05-21 11:00:00+05:30,2024-05-21 05:30:00+00:00,May,19.647864259221123,65.60714589513213,827.4046022354199,171.49046920116768,950.7180433392767,32.51,8.387727583771706,12.84,3.815,12.12,3.2875,39.8603,0.8135,31,17.295679668288063,16.278303566990193,3.2645390781563126,3.815,53.14115812053078,0.8053762889910198
2024-05-21 12:00:00+05:30,2024-05-21 06:30:00+00:00,May,8.290747866447816,27.42012485431502,839.8268705275265,176.93046387639754,1007.9798544975994,33.62,7.3701890098372,13.7,3.815,12.94,3.2875,42.5341,0.814,31,17.820305949485807,16.76780590420267,3.2798296593186373,3.815,54.99554712630208,0.8089428275830578
2024-05-21 13:00:00+05:30,2024-05-21 07:30:00+00:00,May,12.779497512248653,306.4551552275586,836.2126441419865,175.30984892093375,990.8070629050465,34.16,7.675722184116089,13.44,3.815,12.7,3.2951,41.8563,0.8163,31,17.704056764370584,16.63845961854973,3.2874749498997997,3.815,54.698519200901615,0.8098568008635452
2024-05-21 14:00:00+05:30,2024-05-21 08:30:00+00:00,May,25.86795544417781,289.9623494452227,815.5745046572755,166.62371042521147,900.4740800943389,34.35,9.399518107643805,12.09,3.815,11.43,3.3104,37.8375,0.8205,31,16.80084601017215,15.821800321333225,3.2798296593186373,3.815,51.89280995772585,0.8096204968521769
2024-05-21 15:00:00+05:30,2024-05-21 09:30:00+00:00,May,39.786916735233234,286.27727677197345,771.7671086831969,150.7332869639007,743.7697607952633,34.33,13.138574346910774,9.69,3.815,9.17,3.3257,30.5005,0.8251,31,14.892564531747885,14.03778830890104,3.2721843687374745,3.815,45.934231476031655,0.8084858468833225
2024-05-21 16:00:00+05:30,2024-05-21 10:30:00+00:00,May,53.83552152954183,285.857899092812,688.5845290442417,126.81119379275515,533.1259091456342,34.14,20.497664298768306,6.35,3.815,6.02,3.3181,19.9904,0.8247,31,11.794351144528553,11.152956040426401,3.2721843687374745,3.815,36.49452842069947,0.8110715357185142
2024-06-21 09:00:00+05:30,2024-06-21 03:30:00+00:00,Jun,48.714095910801596,70.06758682755122,695.6037043549558,143.0338762287534,601.9871607182687,23.34,21.218399793618733,7.09,3.815,6.72,3.2034,21.5159,0.7955,31,12.4611548056617,11.767047514642973,3.1651503006012023,3.815,37.24447397816084,0.7834458985242273
2024-06-21 10:00:00+05:30,2024-06-21 04:30:00+00:00,Jun,35.06947908437426,67.52901030920185,762.4748534042712,164.22625303917857,788.26911887892,25.06,15.019904345857233,10.07,3.815,9.53,3.2187,30.6679,0.798,31,15.083768507357494,14.198206944575555,3.180440881763527,3.815,45.15655781426691,0.7847230839424778
